Date,Content,Comment
2020-11-30,https://boxd.it/YZrc1,Completely agree
2021-05-27,https://boxd.it/1T3NKB,"Wow, what a nuanced video. You gave me a new perspective, thanks!"
2021-06-01,https://boxd.it/1TPHzt,Silvermintz on a realllllly bad day
2021-08-02,https://boxd.it/22jKt1,"If you really want to commit to the bit you need to do this until you reach 34 years, the amount of time he's stuck in the loop"
2021-08-10,https://boxd.it/1uiQ0V,Still need to see it😩😩😩
2021-08-22,https://boxd.it/25iOl1,"I was kind of disappointed in anchorman...how's that compared to this, have you seen both?"
2021-08-23,https://boxd.it/25iOl1,Anchorman and Elf are both probably his most popular/best (elf>>>anchorman imo tho)
2021-08-24,https://boxd.it/25zQnR,Still a 5 Star film?
2021-08-29,https://boxd.it/26aJEP,Yeah I get that. For me what REALLY scares me is people desensitized to actual gore and violence. There are places people go just to watch that shit it's crazy
2021-09-06,https://boxd.it/27qZ8h,duuuuuude I almost wrote the EXACT same first words what
2021-09-06,https://boxd.it/27qZ8h,basically same opinion
2021-10-15,https://boxd.it/2cUmpj,"Good one, Nick!"
2022-01-07,https://boxd.it/2rSff3,YESSSS IM SO HAPPY YOU LOVED IT YAYAYAYA
2022-02-07,https://boxd.it/2yy1jD,man you're really not a Bergman fan huh
2022-02-09,https://boxd.it/2z1E5D,LOL YOU ACTUALLY SAW IT
