
Date,Name,Tags,URL,Description
2020-09-01,Movies to watch alone,,https://boxd.it/8BSsg,

Position,Name,Year,URL,Description
1,Heaven Knows What,2014,https://boxd.it/8P1a,
2,Mommy,2014,https://boxd.it/7Uau,
3,The Neon Demon,2016,https://boxd.it/9AnW,
4,Burning,2018,https://boxd.it/hHUa,
5,Enter the Void,2009,https://boxd.it/1dy2,
6,Kids,1995,https://boxd.it/1YUY,
7,Uncut Gems,2019,https://boxd.it/gXGc,
8,No Country for Old Men,2007,https://boxd.it/21ew,
9,Under the Skin,2013,https://boxd.it/3mDa,
10,The Social Network,2010,https://boxd.it/17ue,
11,Secret Sunshine,2007,https://boxd.it/27CY,
12,A Taxi Driver,2017,https://boxd.it/fwac,
13,Thunder Road,2018,https://boxd.it/i8Hs,
14,Lost in Translation,2003,https://boxd.it/2b0E,
15,Trainspotting,1996,https://boxd.it/29XY,
16,Three Colors: Blue,1993,https://boxd.it/2b7K,
17,Moon,2009,https://boxd.it/1IGQ,
18,Zodiac,2007,https://boxd.it/27MO,
19,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
