
Date,Name,Tags,URL,Description
2022-02-27,REALLY RANKED RIGHT -- If you like (American film) watch (foreign film),foreign film,https://boxd.it/fA8Ie,

Position,Name,Year,URL,Description
1,Come and See,1985,https://boxd.it/1w9q,
2,Harakiri,1962,https://boxd.it/1NTU,
3,The Godfather,1972,https://boxd.it/2aNK,
4,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ,
5,Seven Samurai,1954,https://boxd.it/2axi,
6,Spirited Away,2001,https://boxd.it/2b4m,
7,The Shawshank Redemption,1994,https://boxd.it/2aHi,
8,Yi Yi,2000,https://boxd.it/1vCw,
9,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy,
10,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
11,Schindler's List,1993,https://boxd.it/2aq2,
12,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
13,City of God,2002,https://boxd.it/2a2a,
14,Stalker,1979,https://boxd.it/28PO,
15,La Haine,1995,https://boxd.it/2as8,
16,Persona,1966,https://boxd.it/29B4,
17,Ran,1985,https://boxd.it/1Tlu,
18,In the Mood for Love,2000,https://boxd.it/29tE,
19,The Handmaiden,2016,https://boxd.it/948A,
20,Andrei Rublev,1966,https://boxd.it/29lg,
21,Apocalypse Now,1979,https://boxd.it/6ZS,
22,Tokyo Story,1953,https://boxd.it/1HuY,
23,Perfect Blue,1997,https://boxd.it/1W7A,
24,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa,
25,Do the Right Thing,1989,https://boxd.it/29gA,
26,Princess Mononoke,1997,https://boxd.it/2b4w,
27,Before Sunrise,1995,https://boxd.it/2bcU,
28,Le Trou,1960,https://boxd.it/1nSw,
29,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
30,The Cranes Are Flying,1957,https://boxd.it/169Y,
31,Pulp Fiction,1994,https://boxd.it/29Pq,
32,Scenes from a Marriage,1974,https://boxd.it/4kJC,
33,Oldboy,2003,https://boxd.it/29R2,
34,Psycho,1960,https://boxd.it/2ab2,
35,It's a Wonderful Life,1946,https://boxd.it/28xA,
36,Memories of Murder,2003,https://boxd.it/1TSo,
37,The Ascent,1977,https://boxd.it/Eew,
38,Mirror,1975,https://boxd.it/28Q8,
39,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
40,The Shining,1980,https://boxd.it/29Nu,
41,Inglourious Basterds,2009,https://boxd.it/1JzG,
42,Nights of Cabiria,1957,https://boxd.it/1F7e,
