Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-11-30,Captain America: The Winter Soldier,2014,https://boxd.it/1u8ZYv,,,,2014-04-26
2021-03-11,Die Hard: With a Vengeance,1995,https://boxd.it/1Im9Pb,,,,2015-01-19
2021-06-14,Clerks,1994,https://boxd.it/1VrbHb,,,,2016-06-12
2021-06-14,Paper Towns,2015,https://boxd.it/1VrbN9,,,,2016-06-12
2021-06-14,The Truman Show,1998,https://boxd.it/1VrbXj,,,,2016-06-12
2021-06-14,Elizabethtown,2005,https://boxd.it/1Vrc4T,,,,2016-06-12
2021-06-14,Pleasantville,1998,https://boxd.it/1Vrchj,,,,2016-06-12
2021-06-16,Moonrise Kingdom,2012,https://boxd.it/1VIQNt,,,,2016-06-12
2020-11-30,Finding Dory,2016,https://boxd.it/1u90Vd,,,,2016-06-22
2020-11-30,John Wick: Chapter 2,2017,https://boxd.it/1u91mN,,,,2017-03-01
2020-11-30,Spider-Man: Homecoming,2017,https://boxd.it/1u90oj,,,,2017-07-15
2020-11-30,Dunkirk,2017,https://boxd.it/1u93gd,,,,2017-08-07
2020-11-30,Thor: Ragnarok,2017,https://boxd.it/1u925X,,,,2017-11-12
2020-11-30,Avengers: Infinity War,2018,https://boxd.it/1u8Zz1,,,,2018-05-06
2020-11-30,Breaking In,2018,https://boxd.it/1u92Hx,,,,2018-05-19
2020-11-30,Solo: A Star Wars Story,2018,https://boxd.it/1u8Z2h,,,,2018-06-16
2021-06-12,The Hate U Give,2018,https://boxd.it/1VeljR,,,,2018-10-20
2020-11-30,Toy Story 4,2019,https://boxd.it/1u8VqJ,,,,2019-07-28
2020-11-30,The Lighthouse,2019,https://boxd.it/1u8W5d,4.5,,,2019-11-03
2020-11-30,Marriage Story,2019,https://boxd.it/1u99cr,5,,,2020-01-13
2020-11-30,The Irishman,2019,https://boxd.it/1u98vx,4,,,2020-01-18
2020-11-30,Jojo Rabbit,2019,https://boxd.it/1u8WoT,5,,,2020-01-19
2020-11-30,1917,2019,https://boxd.it/1u8XPB,4,,,2020-01-21
2020-11-30,Ford v Ferrari,2019,https://boxd.it/1u9821,3,,,2020-01-25
2020-11-30,Parasite,2019,https://boxd.it/1u8UMf,4.5,,,2020-01-26
2020-11-30,Little Women,2019,https://boxd.it/1u97gV,3.5,,,2020-01-27
2020-11-30,Once Upon a Time… in Hollywood,2019,https://boxd.it/1u9aHF,4,,,2020-01-31
2020-12-11,Parasite,2019,https://boxd.it/1vnYwf,4.5,Yes,,2020-04-01
2020-07-28,The Edge of Seventeen,2016,https://boxd.it/1gWCMl,0.5,,,2020-05-01
2020-12-01,Lady Bird,2017,https://boxd.it/1uiOTJ,5,Yes,,2020-05-01
2020-12-01,The Perks of Being a Wallflower,2012,https://boxd.it/1uiPiJ,3,,,2020-05-01
2020-12-01,Booksmart,2019,https://boxd.it/1uiQ0V,2.5,,,2020-06-01
2020-12-01,Sorry to Bother You,2018,https://boxd.it/1uiQmd,,,,2020-06-01
2020-12-01,Good Time,2017,https://boxd.it/1uiQUp,5,,,2020-06-01
2020-12-11,Portrait of a Lady on Fire,2019,https://boxd.it/1vnWxl,5,,,2020-06-01
2020-12-11,Monty Python and the Holy Grail,1975,https://boxd.it/1vnWOh,3.5,,,2020-07-01
2020-12-11,Waves,2019,https://boxd.it/1vnWYh,5,,,2020-07-01
2020-07-27,The Grand Budapest Hotel,2014,https://boxd.it/1gOPl7,4,,,2020-07-23
2020-07-29,Hell or High Water,2016,https://boxd.it/1h3A8n,4,,,2020-07-28
2020-08-01,Requiem for a Dream,2000,https://boxd.it/1hktKN,4.5,,,2020-07-31
2020-08-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/1hz6AP,5,,,2020-08-02
2020-08-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1hNfIB,4,,,2020-08-04
2020-08-08,Fargo,1996,https://boxd.it/1i2Gc3,3.5,,,2020-08-07
2020-08-11,Anomalisa,2015,https://boxd.it/1imCht,4,,,2020-08-10
2020-08-14,Thelma & Louise,1991,https://boxd.it/1iHblZ,2.5,,,2020-08-13
2020-08-18,Se7en,1995,https://boxd.it/1j8J2L,4.5,,,2020-08-17
2020-08-21,Whiplash,2014,https://boxd.it/1jpmi1,5,,,2020-08-20
2020-08-31,Knives Out,2019,https://boxd.it/1koxpz,4.5,Yes,,2020-08-28
2020-09-01,Sicario,2015,https://boxd.it/1kAfdz,4,,,2020-08-31
2020-09-06,Blade Runner,1982,https://boxd.it/1l3K9B,4.5,Yes,,2020-09-04
2020-09-06,Tucker and Dale vs. Evil,2010,https://boxd.it/1l3KDV,4.5,,,2020-09-05
2020-09-08,The Lighthouse,2019,https://boxd.it/1lgJfJ,4.5,Yes,,2020-09-06
2020-09-12,The Matrix,1999,https://boxd.it/1lKbUN,4,Yes,,2020-09-11
2020-09-13,Shaun of the Dead,2004,https://boxd.it/1lR5WH,4,,,2020-09-12
2020-09-16,Rope,1948,https://boxd.it/1mb1wZ,4.5,,,2020-09-15
2020-09-20,Nightcrawler,2014,https://boxd.it/1mzXP9,3.5,,,2020-09-19
2020-09-21,Full Metal Jacket,1987,https://boxd.it/1mGL45,4.5,,,2020-09-20
2020-09-28,The Twilight Saga: Breaking Dawn - Part 1,2011,https://boxd.it/1njsLH,2,,,2020-09-26
2020-10-05,Enola Holmes,2020,https://boxd.it/1o7Vkl,3,,,2020-10-04
2020-10-12,The Graduate,1967,https://boxd.it/1oTAEZ,4.5,,,2020-10-11
2020-10-24,Rear Window,1954,https://boxd.it/1q8SVj,4,,,2020-10-23
2020-10-25,Caché,2005,https://boxd.it/1qi9J3,4.5,,,2020-10-24
2020-10-26,The Royal Tenenbaums,2001,https://boxd.it/1qrz7x,4.5,,,2020-10-25
2020-11-01,I'm Thinking of Ending Things,2020,https://boxd.it/1r67Id,4.5,,,2020-10-30
2020-11-01,The Invisible Man,2020,https://boxd.it/1r8QhF,3,,,2020-10-31
2020-11-02,Lost Highway,1997,https://boxd.it/1ri7o7,5,,,2020-11-01
2020-11-07,Punch-Drunk Love,2002,https://boxd.it/1rLBPP,5,,,2020-11-06
2020-11-10,Feels Good Man,2020,https://boxd.it/1s4O6B,4.5,,,2020-11-09
2020-11-19,Trainspotting,1996,https://boxd.it/1sXt3h,4,,,2020-11-18
2020-11-22,Fight Club,1999,https://boxd.it/1tbmI1,5,Yes,,2020-11-20
2020-11-25,Let It Snow,2019,https://boxd.it/1tBdGd,1.5,,,2020-11-24
2020-11-26,Kiss Kiss Bang Bang,2005,https://boxd.it/1tGeUF,3.5,,,2020-11-25
2020-11-28,National Lampoon's Christmas Vacation,1989,https://boxd.it/1tViF5,4,,,2020-11-27
2020-11-30,They Live,1988,https://boxd.it/1uaW7R,3.5,,,2020-11-29
2020-12-06,12 Angry Men,1957,https://boxd.it/1uP1f7,5,,,2020-12-05
2020-12-07,A Clockwork Orange,1971,https://boxd.it/1uZ9ln,4.5,,,2020-12-06
2020-12-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/1vi1tV,4.5,,,2020-12-09
2020-12-12,mid90s,2018,https://boxd.it/1vtQcj,3.5,,,2020-12-11
2020-12-20,Life of Brian,1979,https://boxd.it/1wnzTH,4,,,2020-12-19
2020-12-25,The Departed,2006,https://boxd.it/1x3MrZ,4.5,,,2020-12-24
2020-12-31,Run Lola Run,1998,https://boxd.it/1y7aDb,4.5,,,2020-12-30
2021-01-02,Thunder Road,2018,https://boxd.it/1yv5Gd,4,,,2021-01-01
2021-01-06,It Comes at Night,2017,https://boxd.it/1zggNN,4.5,,,2021-01-05
2021-01-08,A Man Escaped,1956,https://boxd.it/1zwxNR,3.5,,,2021-01-07
2021-01-09,Before Sunrise,1995,https://boxd.it/1zGgT9,4.5,,,2021-01-08
2021-01-11,Children of Men,2006,https://boxd.it/1A1ryD,4.5,,,2021-01-10
2021-01-14,The Shining,1980,https://boxd.it/1AuCq9,5,,,2021-01-13
2021-01-15,Before Sunset,2004,https://boxd.it/1ADKrx,4,,,2021-01-14
2021-01-17,Making The Shining,1980,https://boxd.it/1AXAPT,3,,,2021-01-16
2021-01-24,The Social Network,2010,https://boxd.it/1C0y1n,4.5,,,2021-01-23
2021-01-25,Hot Fuzz,2007,https://boxd.it/1Cb3xz,4.5,Yes,,2021-01-24
2021-01-28,The Hunt,2012,https://boxd.it/1CyRej,4,,,2021-01-27
2021-02-03,Seven Up!,1964,https://boxd.it/1Dre7X,3.5,,,2021-02-02
2021-02-06,The Wolf of Wall Street,2013,https://boxd.it/1DPUUv,4.5,Yes,,2021-02-05
2021-02-08,Primer,2004,https://boxd.it/1E9rWn,4,,,2021-02-07
2021-02-11,The Climb,2019,https://boxd.it/1Exbkl,4,,,2021-02-10
2021-02-12,Primer,2004,https://boxd.it/1EEJOj,4.5,Yes,,2021-02-11
2021-02-14,Arrival,2016,https://boxd.it/1EXx21,3.5,,,2021-02-13
2021-02-17,The Princess Diaries,2001,https://boxd.it/1Fp9XN,3,,,2021-02-16
2021-02-22,There Will Be Blood,2007,https://boxd.it/1G76YB,5,,,2021-02-21
2021-02-22,This Is Spinal Tap,1984,https://boxd.it/1GbVwV,4,,,2021-02-21
2021-02-24,News of the World,2020,https://boxd.it/1GsjCF,3,,,2021-02-23
2021-02-26,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1GF9sB,2.5,,,2021-02-25
2021-02-26,Promising Young Woman,2020,https://boxd.it/1GHgkD,4.5,,,2021-02-25
2021-03-01,The Trial of the Chicago 7,2020,https://boxd.it/1H4ve7,3.5,,,2021-02-28
2021-03-01,Point Break,1991,https://boxd.it/1H876r,4,,,2021-02-28
2021-03-02,One Night in Miami...,2020,https://boxd.it/1HfYwV,4,,,2021-03-01
2021-03-04,Nomadland,2020,https://boxd.it/1Hv8Tl,4,,,2021-03-03
2021-03-06,Minari,2020,https://boxd.it/1HL0VF,4.5,,,2021-03-05
2021-03-07,The Evil Dead,1981,https://boxd.it/1HUF5j,4,,,2021-03-06
2021-03-11,Sound of Metal,2019,https://boxd.it/1IqSif,4.5,,,2021-03-10
2021-03-12,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/1Iy6HH,3.5,,,2021-03-11
2021-03-15,Ma Rainey's Black Bottom,2020,https://boxd.it/1IUB9v,3.5,,,2021-03-14
2021-03-15,Judas and the Black Messiah,2021,https://boxd.it/1IYXEt,4.5,,,2021-03-14
2021-03-16,Rashomon,1950,https://boxd.it/1J6ZMl,4.5,,,2021-03-15
2021-03-19,Citizen Kane,1941,https://boxd.it/1JuRFT,5,,,2021-03-18
2021-03-21,Sorcerer,1977,https://boxd.it/1JNf1f,4,,,2021-03-20
2021-03-24,Mad Max 2,1981,https://boxd.it/1KcnEf,3.5,,,2021-03-23
2021-03-27,Mank,2020,https://boxd.it/1KvX7f,3,,,2021-03-26
2021-03-29,The Father,2020,https://boxd.it/1KOJgl,4,,,2021-03-28
2021-03-30,Silence,2016,https://boxd.it/1L0bJn,4,,,2021-03-29
2021-03-31,After Hours,1985,https://boxd.it/1L96A9,4,,,2021-03-30
2021-04-02,A League of Their Own,1992,https://boxd.it/1LqiEh,3.5,,,2021-04-01
2021-04-03,Shame,2011,https://boxd.it/1LAyKl,4.5,,,2021-04-02
2021-04-05,Enter the Void,2009,https://boxd.it/1LRvlh,4.5,,,2021-04-04
2021-04-06,The Seventh Seal,1957,https://boxd.it/1M56aV,3.5,,,2021-04-05
2021-04-07,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1McTEz,2.5,,,2021-04-06
2021-04-08,The Elephant Man,1980,https://boxd.it/1MkRyv,4,,,2021-04-07
2021-04-09,Chinatown,1974,https://boxd.it/1MtovZ,4.5,,,2021-04-08
2021-04-10,Shiva Baby,2020,https://boxd.it/1MBO05,4,,,2021-04-09
2021-04-14,Dredd,2012,https://boxd.it/1NeVE5,3,,,2021-04-13
2021-04-22,Close-Up,1990,https://boxd.it/1Omjkr,3.5,,,2021-04-21
2021-04-24,Fantastic Mr. Fox,2009,https://boxd.it/1ODFrt,4.5,Yes,,2021-04-23
2021-04-30,The Killing of a Sacred Deer,2017,https://boxd.it/1PpjWF,4.5,,,2021-04-28
2021-04-30,Funny Games,1997,https://boxd.it/1PuYyJ,4.5,,,2021-04-29
2021-05-01,Spirited Away,2001,https://boxd.it/1PDgeN,4,,,2021-04-30
2021-05-02,Mamma Mia!,2008,https://boxd.it/1PNqRl,4,,,2021-05-01
2021-05-07,Night of the Living Dead,1968,https://boxd.it/1QtG7d,3,,,2021-05-06
2021-05-08,Ella Enchanted,2004,https://boxd.it/1QBzu1,1.5,,,2021-05-07
2021-05-09,The Prestige,2006,https://boxd.it/1QKTHd,4.5,Yes,,2021-05-08
2021-05-12,Halloween,1978,https://boxd.it/1R985h,3.5,,,2021-05-11
2021-05-13,American Psycho,2000,https://boxd.it/1RgPHR,4,,,2021-05-12
2021-05-14,Easy Rider,1969,https://boxd.it/1RojBj,4.5,,,2021-05-13
2021-05-15,Phantom Thread,2017,https://boxd.it/1Rxj6j,5,,,2021-05-14
2021-05-19,Shrek,2001,https://boxd.it/1S6nz5,2.5,Yes,,2021-05-18
2021-05-21,The World's End,2013,https://boxd.it/1SjTDf,4,,,2021-05-20
2021-05-30,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/1Tx3KZ,5,,,2021-05-29
2021-06-01,Perfect Blue,1997,https://boxd.it/1TPum7,4.5,,,2021-05-31
2021-06-02,Blade Runner 2049,2017,https://boxd.it/1TYtnL,5,Yes,,2021-06-01
2021-06-03,No Country for Old Men,2007,https://boxd.it/1U5m7l,4,,,2021-06-02
2021-06-05,Mikey and Nicky,1976,https://boxd.it/1UlBwR,3.5,,,2021-06-04
2021-06-07,Unbreakable,2000,https://boxd.it/1UDLzR,4,,,2021-06-06
2021-06-09,The Favourite,2018,https://boxd.it/1UVHBv,4,,,2021-06-08
2021-06-13,When Harry Met Sally...,1989,https://boxd.it/1VnJql,4.5,,,2021-06-12
2021-06-14,Edward Scissorhands,1990,https://boxd.it/1VxSkh,3,,,2021-06-13
2021-06-15,Le Samouraï,1967,https://boxd.it/1VFCe9,4.5,,,2021-06-14
2021-06-16,Pi,1998,https://boxd.it/1VMNZp,4,,,2021-06-15
2021-06-19,Black Swan,2010,https://boxd.it/1W4nm3,4.5,,,2021-06-18
2021-06-19,RoboCop,1987,https://boxd.it/1W7KY1,5,,,2021-06-18
