
Date,Name,Tags,URL,Description
2022-02-27,1001 Movies You Must See Before You Die,"1001, movies, you, must, see, before, die, complete, greatest, best, films, checklist",https://boxd.it/fA8DI,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Come and See,1985,https://boxd.it/1w9q,
3,Dekalog,1989,https://boxd.it/bv4u,
4,The Godfather,1972,https://boxd.it/2aNK,
5,The Godfather: Part II,1974,https://boxd.it/2aNq,
6,Seven Samurai,1954,https://boxd.it/2axi,
7,12 Angry Men,1957,https://boxd.it/2auI,
8,Shoah,1985,https://boxd.it/XSK,
9,Spirited Away,2001,https://boxd.it/2b4m,
10,The Shawshank Redemption,1994,https://boxd.it/2aHi,
11,A Brighter Summer Day,1991,https://boxd.it/1Luy,
12,Yi Yi,2000,https://boxd.it/1vCw,
13,The Dark Knight,2008,https://boxd.it/2b0k,
14,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
15,GoodFellas,1990,https://boxd.it/29FA,
16,Schindler's List,1993,https://boxd.it/2aq2,
17,Ikiru,1952,https://boxd.it/251c,
18,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
19,City of God,2002,https://boxd.it/2a2a,
20,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
21,The Empire Strikes Back,1980,https://boxd.it/27Vw,
22,Stalker,1979,https://boxd.it/28PO,
23,There Will Be Blood,2007,https://boxd.it/20Z2,
24,Night and Fog,1956,https://boxd.it/29A6,
25,Persona,1966,https://boxd.it/29B4,
26,Ran,1985,https://boxd.it/1Tlu,
27,The Passion of Joan of Arc,1928,https://boxd.it/29DO,
28,In the Mood for Love,2000,https://boxd.it/29tE,
29,Sunset Boulevard,1950,https://boxd.it/2a20,
30,Satantango,1994,https://boxd.it/1j9M,
31,The Handmaiden,2016,https://boxd.it/948A,
32,Woman in the Dunes,1964,https://boxd.it/1JNS,
33,Grave of the Fireflies,1988,https://boxd.it/1RUM,
34,Andrei Rublev,1966,https://boxd.it/29lg,
35,Apocalypse Now,1979,https://boxd.it/6ZS,
36,Whiplash,2014,https://boxd.it/7bQA,
37,Tokyo Story,1953,https://boxd.it/1HuY,
38,Cinema Paradiso,1988,https://boxd.it/1UlA,
39,Paths of Glory,1957,https://boxd.it/29b6,
40,Do the Right Thing,1989,https://boxd.it/29gA,
41,"Paris, Texas",1984,https://boxd.it/29Ts,
42,Close-Up,1990,https://boxd.it/1m9q,
43,Princess Mononoke,1997,https://boxd.it/2b4w,
44,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,
45,The World of Apu,1959,https://boxd.it/29l6,
46,Rear Window,1954,https://boxd.it/2a6Q,
47,Fanny and Alexander,1982,https://boxd.it/22go,
48,The Apartment,1960,https://boxd.it/2aGE,
49,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
50,Le Trou,1960,https://boxd.it/1nSw,
51,The Silence of the Lambs,1991,https://boxd.it/2aHW,
52,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
53,For Sama,2019,https://boxd.it/l9wQ,
54,The Thing,1982,https://boxd.it/294O,
55,The Cranes Are Flying,1957,https://boxd.it/169Y,
56,Pulp Fiction,1994,https://boxd.it/29Pq,
57,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
58,Oldboy,2003,https://boxd.it/29R2,
59,A Woman Under the Influence,1974,https://boxd.it/1myg,
60,Psycho,1960,https://boxd.it/2ab2,
61,Hoop Dreams,1994,https://boxd.it/1Opc,
62,Sansho the Bailiff,1954,https://boxd.it/1Dkq,
63,Once Upon a Time in the West,1968,https://boxd.it/2az4,
64,It's a Wonderful Life,1946,https://boxd.it/28xA,
65,The Red Shoes,1948,https://boxd.it/1EXI,
66,The Ascent,1977,https://boxd.it/Eew,
67,Ordet,1955,https://boxd.it/Jiy,
68,Mirror,1975,https://boxd.it/28Q8,
69,Barry Lyndon,1975,https://boxd.it/25A2,
70,Pather Panchali,1955,https://boxd.it/22yC,
71,Alien,1979,https://boxd.it/2awY,
72,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
73,13th,2016,https://boxd.it/elNg,
74,The Given Word,1962,https://boxd.it/h6Y,
75,The Shining,1980,https://boxd.it/29Nu,
76,Inglourious Basterds,2009,https://boxd.it/1JzG,
77,Nights of Cabiria,1957,https://boxd.it/1F7e,
78,The Battle of Algiers,1966,https://boxd.it/1IRY,
79,The Seventh Seal,1957,https://boxd.it/2ahO,
80,City Lights,1931,https://boxd.it/29ki,
81,8½,1963,https://boxd.it/2aqm,
82,No Country for Old Men,2007,https://boxd.it/21ew,
83,Se7en,1995,https://boxd.it/29zs,
84,La Jetée,1962,https://boxd.it/29Sk,
