
Date,Name,Tags,URL,Description
2021-04-13,2020 Ranked,top2020,https://boxd.it/bLT3I,

Position,Name,Year,URL,Description
1,Promising Young Woman,2020,https://boxd.it/loRE,
2,Minari,2020,https://boxd.it/mL9M,
3,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
4,Feels Good Man,2020,https://boxd.it/oigS,
5,The Father,2020,https://boxd.it/m8Ie,
6,Nomadland,2020,https://boxd.it/lnRy,
7,Shiva Baby,2020,https://boxd.it/oIv0,
8,One Night in Miami...,2020,https://boxd.it/oCUo,
9,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,
10,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,
11,News of the World,2020,https://boxd.it/lm7a,
12,Mank,2020,https://boxd.it/mIuC,
13,The Invisible Man,2020,https://boxd.it/kWlA,
14,Enola Holmes,2020,https://boxd.it/hX2o,
