
Date,Name,Tags,URL,Description
2021-02-23,2021 Best Picture Rank,ranked,https://boxd.it/bgPJy,

Position,Name,Year,URL,Description
1,Judas and the Black Messiah,2021,https://boxd.it/lsew,
2,Promising Young Woman,2020,https://boxd.it/loRE,
3,Sound of Metal,2019,https://boxd.it/i7Q4,
4,Minari,2020,https://boxd.it/mL9M,
5,The Father,2020,https://boxd.it/m8Ie,
6,Nomadland,2020,https://boxd.it/lnRy,
7,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,
8,Mank,2020,https://boxd.it/mIuC,
