
Date,Name,Tags,URL,Description
2022-01-04,2021 watches ranked,,https://boxd.it/eLjSM,

Position,Name,Year,URL,Description
1,There Will Be Blood,2007,https://boxd.it/20Z2,
2,Prisoners,2013,https://boxd.it/4E5i,
3,Phantom Thread,2017,https://boxd.it/e4uc,
4,RoboCop,1987,https://boxd.it/22Wu,
5,The Shining,1980,https://boxd.it/29Nu,
6,La La Land,2016,https://boxd.it/a5fa,
7,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
8,Citizen Kane,1941,https://boxd.it/71O,
9,Upstream Color,2013,https://boxd.it/4Cwc,
10,The Piano Teacher,2001,https://boxd.it/2886,
11,It Comes at Night,2017,https://boxd.it/eLuk,
12,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
13,Black Swan,2010,https://boxd.it/Sw0,
14,Incendies,2010,https://boxd.it/Msm,
15,Enter the Void,2009,https://boxd.it/1dy2,
16,Rashomon,1950,https://boxd.it/2a9K,
17,When Harry Met Sally...,1989,https://boxd.it/29W2,
18,Primer,2004,https://boxd.it/6YA,
19,Chinatown,1974,https://boxd.it/29vU,
20,Funny Games,1997,https://boxd.it/1WKM,
21,Perfect Blue,1997,https://boxd.it/1W7A,
22,The Power of the Dog,2021,https://boxd.it/m99E,
23,Before Sunrise,1995,https://boxd.it/2bcU,
24,Rosemary's Baby,1968,https://boxd.it/29zM,
25,Easy Rider,1969,https://boxd.it/29Ys,
26,Children of Men,2006,https://boxd.it/1Y2i,
27,F for Fake,1973,https://boxd.it/VxA,
28,Promising Young Woman,2020,https://boxd.it/loRE,
29,Shame,2011,https://boxd.it/2CxU,
30,Le Samouraï,1967,https://boxd.it/22ZI,
31,Judas and the Black Messiah,2021,https://boxd.it/lsew,
32,Election,1999,https://boxd.it/1YEc,
33,Saving Private Ryan,1998,https://boxd.it/29ro,
34,Badlands,1973,https://boxd.it/25Fm,
35,Mulholland Drive,2001,https://boxd.it/297o,
36,Sound of Metal,2019,https://boxd.it/i7Q4,
37,Minari,2020,https://boxd.it/mL9M,
38,After Hours,1985,https://boxd.it/1VfS,
39,Thief,1981,https://boxd.it/1TEc,
40,The Prestige,2006,https://boxd.it/293w,
41,Boogie Nights,1997,https://boxd.it/23um,
42,Unbreakable,2000,https://boxd.it/1XV2,
43,Climax,2018,https://boxd.it/ikvo,
44,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
45,Paths of Glory,1957,https://boxd.it/29b6,
46,Over the Garden Wall,2014,https://boxd.it/eqFw,
47,The World's End,2013,https://boxd.it/3EiO,
48,House,1977,https://boxd.it/1vsm,
49,The Social Network,2010,https://boxd.it/17ue,
50,Uncut Gems,2019,https://boxd.it/gXGc,
51,Magnolia,1999,https://boxd.it/2aze,
52,Zodiac,2007,https://boxd.it/27MO,
53,The Hunt,2012,https://boxd.it/3wEC,
54,La Haine,1995,https://boxd.it/2as8,
55,Before Midnight,2013,https://boxd.it/4ive,
56,Pi,1998,https://boxd.it/2ajq,
57,Hereditary,2018,https://boxd.it/hNVe,
58,Shiva Baby,2020,https://boxd.it/oIv0,
59,The Green Knight,2021,https://boxd.it/kuy2,
60,The Favourite,2018,https://boxd.it/d2hI,
61,A Single Man,2009,https://boxd.it/1dx4,
62,Blackfish,2013,https://boxd.it/4Ym4,
63,Exit Through the Gift Shop,2010,https://boxd.it/13E0,
64,Casino,1995,https://boxd.it/2ads,
65,American Psycho,2000,https://boxd.it/28Vs,
66,The Elephant Man,1980,https://boxd.it/27LQ,
67,No Country for Old Men,2007,https://boxd.it/21ew,
68,Mamma Mia!,2008,https://boxd.it/1Tnq,
69,The French Dispatch,2021,https://boxd.it/jLP8,
70,Titane,2021,https://boxd.it/nlQC,
71,Sorcerer,1977,https://boxd.it/14J6,
72,The Father,2020,https://boxd.it/m8Ie,
73,The Climb,2019,https://boxd.it/lXDM,
74,The Evil Dead,1981,https://boxd.it/29Go,
75,Silence,2016,https://boxd.it/2cAo,
76,Eraserhead,1977,https://boxd.it/299u,
77,Thunder Road,2018,https://boxd.it/i8Hs,
78,Before Sunset,2004,https://boxd.it/2bcg,
79,Spirited Away,2001,https://boxd.it/2b4m,
80,Split,2016,https://boxd.it/dgSy,
81,This Is Spinal Tap,1984,https://boxd.it/1UOs,
82,Nomadland,2020,https://boxd.it/lnRy,
83,The 400 Blows,1959,https://boxd.it/2b1C,
84,One Night in Miami...,2020,https://boxd.it/oCUo,
85,Rushmore,1998,https://boxd.it/1TAO,
86,Point Break,1991,https://boxd.it/2958,
87,A League of Their Own,1992,https://boxd.it/1UdG,
88,Dazed and Confused,1993,https://boxd.it/1Ylk,
89,Elephant,2003,https://boxd.it/287i,
90,Spencer,2021,https://boxd.it/qPMG,
91,Close-Up,1990,https://boxd.it/1m9q,
92,The Host,2006,https://boxd.it/28ZY,
93,West Side Story,2021,https://boxd.it/iwt0,
94,Transit,2018,https://boxd.it/gUK6,
95,Arrival,2016,https://boxd.it/aNGk,
96,Platoon,1986,https://boxd.it/29BS,
97,Some Kind of Heaven,2020,https://boxd.it/nH7Y,
98,Dune,2021,https://boxd.it/fA7G,
99,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
100,A Man Escaped,1956,https://boxd.it/1MzY,
101,Halloween,1978,https://boxd.it/2wRu,
102,Baby Driver,2017,https://boxd.it/bhF2,
103,C'mon C'mon,2021,https://boxd.it/nrI0,
104,The Seventh Seal,1957,https://boxd.it/2ahO,
105,Seven Samurai,1954,https://boxd.it/2axi,
106,Mikey and Nicky,1976,https://boxd.it/iL4,
107,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,
108,Mad Max 2,1981,https://boxd.it/1ZPg,
109,What We Do in the Shadows,2014,https://boxd.it/7eQy,
110,Ma Rainey's Black Bottom,2020,https://boxd.it/mLcm,
111,Seven Up!,1964,https://boxd.it/AnE,
112,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,
113,Swiss Army Man,2016,https://boxd.it/bDG2,
114,Mean Girls,2004,https://boxd.it/1VNg,
115,Hustlers,2019,https://boxd.it/jIBM,
116,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
117,The Princess Diaries,2001,https://boxd.it/1XCO,
118,Hard Eight,1996,https://boxd.it/20DU,
119,Dredd,2012,https://boxd.it/GZE,
120,Night of the Living Dead,1968,https://boxd.it/1WwA,
121,Last Night in Soho,2021,https://boxd.it/lbJC,
122,The Suicide Squad,2021,https://boxd.it/fw6O,
123,The Green Mile,1999,https://boxd.it/2agG,
124,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
125,News of the World,2020,https://boxd.it/lm7a,
126,Polytechnique,2009,https://boxd.it/1AMG,
127,Mank,2020,https://boxd.it/mIuC,
128,The Matrix Reloaded,2003,https://boxd.it/2a1c,
129,Irreversible,2002,https://boxd.it/29as,
130,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1UyY,
131,Edward Scissorhands,1990,https://boxd.it/2aZc,
132,Beverly Hills Cop,1984,https://boxd.it/2baE,
133,Inherent Vice,2014,https://boxd.it/5hla,
134,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,
135,Now You See Me,2013,https://boxd.it/2Bsu,
136,The Matrix Revolutions,2003,https://boxd.it/2a12,
137,She's All That,1999,https://boxd.it/1Wz0,
138,Ella Enchanted,2004,https://boxd.it/1O5G,
139,F9,2021,https://boxd.it/dqsU,
