
Date,Name,Tags,URL,Description
2022-02-09,2022 Best Picture Ranked,,https://boxd.it/fmzaU,

Position,Name,Year,URL,Description
1,The Power of the Dog,2021,https://boxd.it/m99E,
2,Dune,2021,https://boxd.it/fA7G,
3,Drive My Car,2021,https://boxd.it/sv94,
4,West Side Story,2021,https://boxd.it/iwt0,
5,Licorice Pizza,2021,https://boxd.it/qTKY,
6,Nightmare Alley,2021,https://boxd.it/m0HC,
7,Belfast,2021,https://boxd.it/tefG,
8,CODA,2021,https://boxd.it/tbf4,
9,King Richard,2021,https://boxd.it/mJZ2,
10,Don't Look Up,2021,https://boxd.it/o0Hc,
