
Date,Name,Tags,URL,Description
2021-07-11,5 Star Films Ranked,topstats,https://boxd.it/cGaUw,My favorite watches since August 2020ish ranked.   Inaccurate

Position,Name,Year,URL,Description
1,Apocalypse Now,1979,https://boxd.it/6ZS,
2,There Will Be Blood,2007,https://boxd.it/20Z2,
3,Prisoners,2013,https://boxd.it/4E5i,
4,Phantom Thread,2017,https://boxd.it/e4uc,
5,Taxi Driver,1976,https://boxd.it/2b8y,
6,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
7,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
8,Whiplash,2014,https://boxd.it/7bQA,
9,Waves,2019,https://boxd.it/jpmy,
10,Blade Runner 2049,2017,https://boxd.it/b8wK,
11,RoboCop,1987,https://boxd.it/22Wu,
12,Good Time,2017,https://boxd.it/fcFu,
13,12 Angry Men,1957,https://boxd.it/2auI,
14,Punch-Drunk Love,2002,https://boxd.it/20E4,
15,The Handmaiden,2016,https://boxd.it/948A,
16,Parasite,2019,https://boxd.it/hTha,
17,The Shining,1980,https://boxd.it/29Nu,
18,Taste of Cherry,1997,https://boxd.it/1m8W,
19,La La Land,2016,https://boxd.it/a5fa,
20,Fight Club,1999,https://boxd.it/2a9q,
21,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
22,Citizen Kane,1941,https://boxd.it/71O,
23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
24,Lost Highway,1997,https://boxd.it/29Wc,
25,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
26,Jojo Rabbit,2019,https://boxd.it/iEBG,
27,Lady Bird,2017,https://boxd.it/dGNE,
28,Marriage Story,2019,https://boxd.it/hJAw,
