
Date,Name,Tags,URL,Description
2022-02-27,All the Movies for MEEEE,,https://boxd.it/fA8pw,"I’m sick of sorting through concerts, series, and other non-movies. Anything with more than 1,000 views on Letterboxd that’s longer than 40 minutes, excluding documentaries.
<b>Exceptions</b>:
I'm including films that are just shy of 40 minutes, as well as Docufiction and some Hybrid Documentaries.
Minimums for earlier years are different:
1910s - 300
1920s - 400
1930s - 700
1940s - 700
Sorted by Average Rating. Let me know if I'm missing something, or if there's something that shouldn't be on here (stage show, miniseries, TV show, etc...). Updates on Saturdays."

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Come and See,1985,https://boxd.it/1w9q,
3,Harakiri,1962,https://boxd.it/1NTU,
4,The Godfather,1972,https://boxd.it/2aNK,
5,The Godfather: Part II,1974,https://boxd.it/2aNq,
6,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ,
7,A Dog's Will,2000,https://boxd.it/12u4,
8,Seven Samurai,1954,https://boxd.it/2axi,
9,12 Angry Men,1957,https://boxd.it/2auI,
10,Spirited Away,2001,https://boxd.it/2b4m,
11,High and Low,1963,https://boxd.it/1RSc,
12,The Shawshank Redemption,1994,https://boxd.it/2aHi,
13,A Brighter Summer Day,1991,https://boxd.it/1Luy,
14,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
15,Yi Yi,2000,https://boxd.it/1vCw,
16,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy,
17,Barber's Tales,2013,https://boxd.it/6D80,
18,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
19,The Dark Knight,2008,https://boxd.it/2b0k,
20,GoodFellas,1990,https://boxd.it/29FA,
21,Schindler's List,1993,https://boxd.it/2aq2,
22,Ikiru,1952,https://boxd.it/251c,
23,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
24,Central Station,1998,https://boxd.it/29RG,
25,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
