
Date,Name,Tags,URL,Description
2020-12-06,Buy Blu-Ray,,https://boxd.it/anLgM,

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,The Truman Show,1998,https://boxd.it/18U8,
3,There Will Be Blood,2007,https://boxd.it/20Z2,
4,Caché,2005,https://boxd.it/2amY,
5,Perfect Blue,1997,https://boxd.it/1W7A,
6,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
7,Lost Highway,1997,https://boxd.it/29Wc,
8,Phantom Thread,2017,https://boxd.it/e4uc,
9,Unbreakable,2000,https://boxd.it/1XV2,
10,Enter the Void,2009,https://boxd.it/1dy2,
11,La La Land,2016,https://boxd.it/a5fa,
12,Waves,2019,https://boxd.it/jpmy,
13,The Favourite,2018,https://boxd.it/d2hI,
14,Oldboy,2003,https://boxd.it/29R2,
15,Fallen Angels,1995,https://boxd.it/1UkW,
16,7 Plus Seven,1970,https://boxd.it/CVo,
17,Titane,2021,https://boxd.it/nlQC,
18,Hereditary,2018,https://boxd.it/hNVe,
