
Date,Name,Tags,URL,Description
2022-06-02,Crime Procedural Thrillers that Bang,,https://boxd.it/gPr9w,

Position,Name,Year,URL,Description
1,Fargo,1996,https://boxd.it/2aHM,
2,The Departed,2006,https://boxd.it/28MA,
3,Gone Girl,2014,https://boxd.it/6hQu,
4,Chinatown,1974,https://boxd.it/29vU,
5,The Silence of the Lambs,1991,https://boxd.it/2aHW,
6,Zodiac,2007,https://boxd.it/27MO,
7,Memories of Murder,2003,https://boxd.it/1TSo,
8,Memento,2000,https://boxd.it/2bcK,
9,RoboCop,1987,https://boxd.it/22Wu,
10,Hot Fuzz,2007,https://boxd.it/2416,
11,Mother,2009,https://boxd.it/1m9g,
12,Hell or High Water,2016,https://boxd.it/bfGM,
13,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,
