
Date,Name,Tags,URL,Description
2021-06-30,LMP,,https://boxd.it/cyE5s,

Position,Name,Year,URL,Description
1,All That Jazz,1979,https://boxd.it/1JB8,
2,The Fisher King,1991,https://boxd.it/2aWM,
3,The Wrestler,2008,https://boxd.it/1So8,
4,Under the Silver Lake,2018,https://boxd.it/dSAs,
5,Barry Lyndon,1975,https://boxd.it/25A2,
6,The Third Man,1949,https://boxd.it/294E,
7,Bringing Out the Dead,1999,https://boxd.it/1ZZK,
8,Tangerine,2015,https://boxd.it/9QRe,
9,Oldboy,2003,https://boxd.it/29R2,
10,L.A. Confidential,1997,https://boxd.it/27oC,
11,Gone Girl,2014,https://boxd.it/6hQu,
12,Dogtooth,2009,https://boxd.it/158K,
13,The Sixth Sense,1999,https://boxd.it/29Js,
14,Uncut Gems,2019,https://boxd.it/gXGc,
15,The King of Comedy,1982,https://boxd.it/2aJS,
16,Brick,2005,https://boxd.it/1Z6A,
17,mother!,2017,https://boxd.it/dgRU,
18,High and Low,1963,https://boxd.it/1RSc,
19,Nocturnal Animals,2016,https://boxd.it/bkFu,
20,Sunset Boulevard,1950,https://boxd.it/2a20,
21,The Handmaiden,2016,https://boxd.it/948A,
22,Do the Right Thing,1989,https://boxd.it/29gA,
23,Mommy,2014,https://boxd.it/7Uau,
24,Fallen Angels,1995,https://boxd.it/1UkW,
25,Ex Machina,2015,https://boxd.it/7T2k,
26,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
27,Lost in Translation,2003,https://boxd.it/2b0E,
28,Blindspotting,2018,https://boxd.it/hDMw,
29,Burning,2018,https://boxd.it/hHUa,
30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
31,Mandy,2018,https://boxd.it/gtti,
32,Being John Malkovich,1999,https://boxd.it/2ahu,
33,Pan's Labyrinth,2006,https://boxd.it/28No,
34,Heat,1995,https://boxd.it/2bg8,
35,Y Tu Mamá También,2001,https://boxd.it/28QM,
36,Midnight Cowboy,1969,https://boxd.it/25Hi,
37,First Reformed,2017,https://boxd.it/go9C,
38,The Thin Red Line,1998,https://boxd.it/1ZTM,
39,Fantastic Planet,1973,https://boxd.it/1KnQ,
40,Audition,1999,https://boxd.it/1UHm,
41,Irreversible,2002,https://boxd.it/29as,
42,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
43,The Tree of Life,2011,https://boxd.it/1Zu8,
44,A Ghost Story,2017,https://boxd.it/fb0K,
45,28 Days Later,2002,https://boxd.it/2aXU,
46,The Darjeeling Limited,2007,https://boxd.it/24as,
47,Thundercrack!,1975,https://boxd.it/K8a,
48,Vox Lux,2018,https://boxd.it/fcFk,
49,Days of Heaven,1978,https://boxd.it/1JRg,
