
Date,Name,Tags,URL,Description
2021-07-18,M,,https://boxd.it/cL0ra,

Position,Name,Year,URL,Description
1,Barry Lyndon,1975,https://boxd.it/25A2,
2,Under the Silver Lake,2018,https://boxd.it/dSAs,
3,Tangerine,2015,https://boxd.it/9QRe,
4,Dogtooth,2009,https://boxd.it/158K,
5,Do the Right Thing,1989,https://boxd.it/29gA,
6,Nocturnal Animals,2016,https://boxd.it/bkFu,
7,Mommy,2014,https://boxd.it/7Uau,
8,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
9,Lost in Translation,2003,https://boxd.it/2b0E,
10,Brick,2005,https://boxd.it/1Z6A,
11,Blindspotting,2018,https://boxd.it/hDMw,
12,Burning,2018,https://boxd.it/hHUa,
13,All That Jazz,1979,https://boxd.it/1JB8,
14,Ex Machina,2015,https://boxd.it/7T2k,
15,Jaws,1975,https://boxd.it/2a5e,
16,Eyes Wide Shut,1999,https://boxd.it/2axs,
17,La Belle Noiseuse,1991,https://boxd.it/1RxI,
18,Y Tu Mamá También,2001,https://boxd.it/28QM,
19,"Sex, Lies, and Videotape",1989,https://boxd.it/28Oc,
20,The Piano,1993,https://boxd.it/29Kq,
