
Date,Name,Tags,URL,Description
2020-10-12,MRW,,https://boxd.it/8X7k4,

Position,Name,Year,URL,Description
1,Solaris,1972,https://boxd.it/2a2Y,
2,Game Night,2018,https://boxd.it/fRtu,
3,Hustlers,2019,https://boxd.it/jIBM,
4,Persona,1966,https://boxd.it/29B4,
5,Brick,2005,https://boxd.it/1Z6A,
6,The Godfather,1972,https://boxd.it/2aNK,
7,Over the Garden Wall,2014,https://boxd.it/eqFw,
8,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
9,The Handmaiden,2016,https://boxd.it/948A,
10,Psycho,1960,https://boxd.it/2ab2,
11,Barry Lyndon,1975,https://boxd.it/25A2,
12,All About Eve,1950,https://boxd.it/29LI,
13,Vertigo,1958,https://boxd.it/2apI,
14,Tomboy,2011,https://boxd.it/49U,
15,Almost Famous,2000,https://boxd.it/29CQ,
16,Eyes Wide Shut,1999,https://boxd.it/2axs,
17,Amadeus,1984,https://boxd.it/2aH8,
18,Mulholland Drive,2001,https://boxd.it/297o,
19,Boogie Nights,1997,https://boxd.it/23um,
20,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
21,Magnolia,1999,https://boxd.it/2aze,
22,The Florida Project,2017,https://boxd.it/dMG0,
23,Before Midnight,2013,https://boxd.it/4ive,
24,Blindspotting,2018,https://boxd.it/hDMw,
25,Call Me by Your Name,2017,https://boxd.it/dYmm,
26,American Beauty,1999,https://boxd.it/71Y,
27,Burning,2018,https://boxd.it/hHUa,
28,Eat Drink Man Woman,1994,https://boxd.it/1Wem,
29,Frances Ha,2012,https://boxd.it/41Xg,
30,Dazed and Confused,1993,https://boxd.it/1Ylk,
31,Ida,2013,https://boxd.it/6fRg,
32,Another Round,2020,https://boxd.it/lkba,
33,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
34,The Virgin Suicides,1999,https://boxd.it/28JG,
35,La La Land,2016,https://boxd.it/a5fa,
36,Under the Skin,2013,https://boxd.it/3mDa,
37,The Nice Guys,2016,https://boxd.it/94Hg,
38,Room,2015,https://boxd.it/7T0y,
39,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,
40,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
41,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
42,First Reformed,2017,https://boxd.it/go9C,
43,Logan Lucky,2017,https://boxd.it/dZrs,
44,The Tree of Life,2011,https://boxd.it/1Zu8,
45,Inherent Vice,2014,https://boxd.it/5hla,
46,Swiss Army Man,2016,https://boxd.it/bDG2,
47,Shoplifters,2018,https://boxd.it/ifY6,
48,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
49,The Big Lebowski,1998,https://boxd.it/2b6C,
50,Tangerine,2015,https://boxd.it/9QRe,
51,Nocturnal Animals,2016,https://boxd.it/bkFu,
52,The Farewell,2019,https://boxd.it/kIky,
53,The Age of Innocence,1993,https://boxd.it/1WgM,
54,American Graffiti,1973,https://boxd.it/29us,
55,Being John Malkovich,1999,https://boxd.it/2ahu,
56,Casino,1995,https://boxd.it/2ads,
57,Eraserhead,1977,https://boxd.it/299u,
58,Gladiator,2000,https://boxd.it/2b9m,
59,The King of Comedy,1982,https://boxd.it/2aJS,
60,The Piano Teacher,2001,https://boxd.it/2886,
61,Mean Streets,1973,https://boxd.it/2aSU,
62,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
63,Brokeback Mountain,2005,https://boxd.it/2b2q,
64,Little Miss Sunshine,2006,https://boxd.it/29EW,
65,Lost in Translation,2003,https://boxd.it/2b0E,
66,Million Dollar Baby,2004,https://boxd.it/2bdI,
67,Oldboy,2003,https://boxd.it/29R2,
68,Once,2007,https://boxd.it/22GG,
69,Pan's Labyrinth,2006,https://boxd.it/28No,
70,Slumdog Millionaire,2008,https://boxd.it/1S3E,
71,Catch Me If You Can,2002,https://boxd.it/29VS,
72,Nowhere,1997,https://boxd.it/286E,
73,Rosemary's Baby,1968,https://boxd.it/29zM,
74,Under the Silver Lake,2018,https://boxd.it/dSAs,
75,L.A. Confidential,1997,https://boxd.it/27oC,
76,Dogtooth,2009,https://boxd.it/158K,
77,Do the Right Thing,1989,https://boxd.it/29gA,
78,The Sixth Sense,1999,https://boxd.it/29Js,
79,Mommy,2014,https://boxd.it/7Uau,
80,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
81,Ocean's Eleven,2001,https://boxd.it/2aZm,
82,Taste of Cherry,1997,https://boxd.it/1m8W,
83,The Player,1992,https://boxd.it/1WlM,
84,Desert Hearts,1985,https://boxd.it/2aFc,
85,Mustang,2015,https://boxd.it/baaw,
