
Date,Name,Tags,URL,Description
2021-06-07,Owned,owned,https://boxd.it/clAnG,

Position,Name,Year,URL,Description
1,Blade Runner 2049,2017,https://boxd.it/b8wK,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,Invictus,2009,https://boxd.it/1zPk,
4,Life Is Beautiful,1997,https://boxd.it/29Wm,
5,The Outsiders,1983,https://boxd.it/2aPw,
6,Stand by Me,1986,https://boxd.it/2aOe,
7,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
8,Whiplash,2014,https://boxd.it/7bQA,
9,Hot Fuzz,2007,https://boxd.it/2416,
10,Shaun of the Dead,2004,https://boxd.it/29J8,
11,The World's End,2013,https://boxd.it/3EiO,
12,It Comes at Night,2017,https://boxd.it/eLuk,
13,Schindler's List,1993,https://boxd.it/2aq2,
14,Seven Samurai,1954,https://boxd.it/2axi,
15,Funny Games,1997,https://boxd.it/1WKM,
16,The Graduate,1967,https://boxd.it/18Im,
17,The Silence of the Lambs,1991,https://boxd.it/2aHW,
18,L.A. Confidential,1997,https://boxd.it/27oC,
19,Prisoners,2013,https://boxd.it/4E5i,
20,Phantom Thread,2017,https://boxd.it/e4uc,
21,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
22,GoodFellas,1990,https://boxd.it/29FA,
23,F for Fake,1973,https://boxd.it/VxA,
24,Election,1999,https://boxd.it/1YEc,
25,Parasite,2019,https://boxd.it/hTha,
26,Mulholland Drive,2001,https://boxd.it/297o,
27,When Harry Met Sally...,1989,https://boxd.it/29W2,
28,Perfect Blue,1997,https://boxd.it/1W7A,
29,Twilight,2008,https://boxd.it/1Zui,
30,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,
31,The Twilight Saga: Eclipse,2010,https://boxd.it/1ytW,
32,The Twilight Saga: Breaking Dawn - Part 1,2011,https://boxd.it/DdM,
33,The Twilight Saga: Breaking Dawn - Part 2,2012,https://boxd.it/DdC,
34,G-Force,2009,https://boxd.it/1ETc,
35,Shutter Island,2010,https://boxd.it/1U82,
36,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
