
Date,Name,Tags,URL,Description
2022-02-26,Waiting,,https://boxd.it/fzCjw,

Position,Name,Year,URL,Description
1,All That Jazz,1979,https://boxd.it/1JB8,
2,Mommy,2014,https://boxd.it/7Uau,
3,Red Rocket,2021,https://boxd.it/sGpi,
4,Amadeus,1984,https://boxd.it/2aH8,
5,Barry Lyndon,1975,https://boxd.it/25A2,
6,Under the Silver Lake,2018,https://boxd.it/dSAs,
7,The Celebration,1998,https://boxd.it/2aCM,
8,Brick,2005,https://boxd.it/1Z6A,
9,Schindler's List,1993,https://boxd.it/2aq2,
10,Dogtooth,2009,https://boxd.it/158K,
11,Eyes Wide Shut,1999,https://boxd.it/2axs,
12,The Apartment,1960,https://boxd.it/2aGE,
13,Isle of Dogs,2018,https://boxd.it/dZrW,
14,Raging Bull,1980,https://boxd.it/28yI,
15,Call Me by Your Name,2017,https://boxd.it/dYmm,
16,Moonlight,2016,https://boxd.it/d6bE,
17,The Conversation,1974,https://boxd.it/2a38,
18,Pride & Prejudice,2005,https://boxd.it/24u8,
19,Pan's Labyrinth,2006,https://boxd.it/28No,
20,Vivre Sa Vie,1962,https://boxd.it/28s6,
21,The Darjeeling Limited,2007,https://boxd.it/24as,
22,Another Round,2020,https://boxd.it/lkba,
23,"Paris, Texas",1984,https://boxd.it/29Ts,
24,Jennifer's Body,2009,https://boxd.it/1Efw,
25,Tangerine,2015,https://boxd.it/9QRe,
26,American Beauty,1999,https://boxd.it/71Y,
27,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
28,The Florida Project,2017,https://boxd.it/dMG0,
29,Autumn Sonata,1978,https://boxd.it/1Rio,
30,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
31,Wolfwalkers,2020,https://boxd.it/fGrC,
32,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
33,Bound,1996,https://boxd.it/1Z1g,
34,Dreams,1990,https://boxd.it/1ROu,
35,Frances Ha,2012,https://boxd.it/41Xg,
36,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,
37,The Fountain,2006,https://boxd.it/28RU,
38,Bo Burnham: Inside,2021,https://boxd.it/v2uy,
39,Tokyo Story,1953,https://boxd.it/1HuY,
40,Do the Right Thing,1989,https://boxd.it/29gA,
41,Shoplifters,2018,https://boxd.it/ifY6,
42,Blue Is the Warmest Color,2013,https://boxd.it/4O40,
43,Little Miss Sunshine,2006,https://boxd.it/29EW,
44,Brokeback Mountain,2005,https://boxd.it/2b2q,
45,Amélie,2001,https://boxd.it/2aUc,
46,Bottle Rocket,1996,https://boxd.it/1PDa,
47,Shithouse,2020,https://boxd.it/nCFc,
48,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,
49,Weekend,2011,https://boxd.it/2Kzu,
50,(500) Days of Summer,2009,https://boxd.it/1EmM,
51,Once,2007,https://boxd.it/22GG,
52,Clueless,1995,https://boxd.it/1Ygk,
53,Almost Famous,2000,https://boxd.it/29CQ,
54,Fat Girl,2001,https://boxd.it/2a6w,
55,20th Century Women,2016,https://boxd.it/bqU6,
56,Soul,2020,https://boxd.it/ioLA,
57,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,
58,Mamma Mia! Here We Go Again,2018,https://boxd.it/gnfO,
59,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,
60,45 Years,2015,https://boxd.it/9ZPG,
61,Personal Shopper,2016,https://boxd.it/bkGM,
62,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,
63,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,
64,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,
65,The Third Man,1949,https://boxd.it/294E,
66,Summer with Monika,1953,https://boxd.it/JZC,
67,The Young Girls of Rochefort,1967,https://boxd.it/26K8,
68,The Big Lebowski,1998,https://boxd.it/2b6C,
69,Catch Me If You Can,2002,https://boxd.it/29VS,
70,Son of the White Mare,1981,https://boxd.it/10f2,
71,Sunrise: A Song of Two Humans,1927,https://boxd.it/29Xk,
72,Double Indemnity,1944,https://boxd.it/297I,
73,Sweet Smell of Success,1957,https://boxd.it/29aW,
74,Dog Day Afternoon,1975,https://boxd.it/29bg,
75,Children of Paradise,1945,https://boxd.it/26H4,
76,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,
