Date,Name,Year,Letterboxd URI,Rating
2020-07-27,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2020-07-27,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2020-07-28,Good Time,2017,https://boxd.it/fcFu,5
2020-07-28,The Edge of Seventeen,2016,https://boxd.it/d5nu,0.5
2020-07-28,Jojo Rabbit,2019,https://boxd.it/iEBG,5
2020-07-28,Lady Bird,2017,https://boxd.it/dGNE,5
2020-07-28,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3
2020-07-28,Booksmart,2019,https://boxd.it/igNS,2.5
2020-07-28,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,3.5
2020-07-29,Pulp Fiction,1994,https://boxd.it/29Pq,4
2020-07-29,Hell or High Water,2016,https://boxd.it/bfGM,4
2020-08-01,Requiem for a Dream,2000,https://boxd.it/29VI,4.5
2020-08-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,5
2020-08-08,Fargo,1996,https://boxd.it/2aHM,3.5
2020-08-11,Anomalisa,2015,https://boxd.it/97TE,4
2020-08-14,Thelma & Louise,1991,https://boxd.it/28Ew,2.5
2020-08-18,Se7en,1995,https://boxd.it/29zs,4.5
2020-08-21,Whiplash,2014,https://boxd.it/7bQA,5
2020-08-31,Knives Out,2019,https://boxd.it/jWEA,4.5
2020-09-01,Sicario,2015,https://boxd.it/8i7u,4
2020-09-06,Blade Runner,1982,https://boxd.it/2bcA,4.5
2020-09-06,Tucker and Dale vs. Evil,2010,https://boxd.it/Mce,4.5
2020-09-06,Waves,2019,https://boxd.it/jpmy,5
2020-09-08,The Lighthouse,2019,https://boxd.it/icFU,4.5
2020-09-13,The Matrix,1999,https://boxd.it/2a1m,4
2020-09-13,Shaun of the Dead,2004,https://boxd.it/29J8,4
2020-09-16,Rope,1948,https://boxd.it/28yo,4.5
2020-09-20,Nightcrawler,2014,https://boxd.it/780m,3.5
2020-09-21,Full Metal Jacket,1987,https://boxd.it/2a1Q,4.5
2020-09-28,The Twilight Saga: Breaking Dawn - Part 1,2011,https://boxd.it/DdM,2
2020-10-05,Enola Holmes,2020,https://boxd.it/hX2o,3
2020-10-12,The Graduate,1967,https://boxd.it/18Im,4.5
2020-10-24,Rear Window,1954,https://boxd.it/2a6Q,4
2020-10-25,Caché,2005,https://boxd.it/2amY,4.5
2020-10-26,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4.5
2020-11-01,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,4.5
2020-11-01,The Invisible Man,2020,https://boxd.it/kWlA,3
2020-11-02,Lost Highway,1997,https://boxd.it/29Wc,5
2020-11-07,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2020-11-10,Feels Good Man,2020,https://boxd.it/oigS,4.5
2020-11-19,Trainspotting,1996,https://boxd.it/29XY,4
2020-11-22,Fight Club,1999,https://boxd.it/2a9q,5
2020-11-25,Let It Snow,2019,https://boxd.it/9kKg,1.5
2020-11-26,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8,3.5
2020-11-28,National Lampoon's Christmas Vacation,1989,https://boxd.it/22wQ,4
2020-11-30,1917,2019,https://boxd.it/jj4y,4
2020-11-30,The Irishman,2019,https://boxd.it/dYOq,4
2020-11-30,Marriage Story,2019,https://boxd.it/hJAw,5
2020-11-30,Once Upon a Time… in Hollywood,2019,https://boxd.it/gH0O,4
2020-11-30,Ford v Ferrari,2019,https://boxd.it/ce74,3
2020-11-30,Little Women,2019,https://boxd.it/aSVk,3.5
