Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-07-27,The Grand Budapest Hotel,2014,https://boxd.it/1gOPl7,4,,"I liked it, funny and obviously very Wes Anderson.  Acting was great. Didn't emotionally move me at all, more about the style and humor. Still super fun.",,2020-07-23
2020-07-28,The Edge of Seventeen,2016,https://boxd.it/1gWCMl,0.5,,I hated the main character and I thought the whole source of the conflict for the movie was stupid. Don't know why people like this one so much,,2020-05-01
2020-07-29,Hell or High Water,2016,https://boxd.it/1h3A8n,4,,CHRIS. PINE.,,2020-07-28
2020-08-01,Requiem for a Dream,2000,https://boxd.it/1hktKN,4.5,,This is sad and disturbing. Highly recommend.,,2020-07-31
2020-08-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/1hz6AP,5,,"Loved it. This movie made me sympathize with everyone, which is not what I was expecting. ",,2020-08-02
2020-08-06,Scott Pilgrim vs. the World,2010,https://boxd.it/1hNfIB,4,,Loved it,,2020-08-04
2020-08-08,Fargo,1996,https://boxd.it/1i2Gc3,3.5,,Darn tootin',,2020-08-07
2020-08-14,Thelma & Louise,1991,https://boxd.it/1iHblZ,2.5,,"I'm sure for its time this was great social commentary, but this reallllly hasn't aged well in a lot of ways. The message was good but the 80-isms really got in the way for me.",,2020-08-13
2020-08-21,Whiplash,2014,https://boxd.it/1jpmi1,5,,I didn't think this one would be something you'd want to watch twice to get but holllllllly moly there's a lot to this one.,,2020-08-20
2020-08-31,Knives Out,2019,https://boxd.it/1koxpz,4.5,Yes,Such a fun and unique mystery movie.,,2020-08-28
2020-09-06,Blade Runner,1982,https://boxd.it/1l3K9B,4.5,Yes,If only this movie wasn't kinda rapey,,2020-09-04
2020-09-12,The Matrix,1999,https://boxd.it/1lKbUN,4,Yes,Woahs. Lots of woahs.,,2020-09-11
2020-09-16,Rope,1948,https://boxd.it/1mb1wZ,4.5,,APV,,2020-09-15
2020-11-01,The Invisible Man,2020,https://boxd.it/1r8QhF,3,,This could have been so much better if I cared about the characters.,,2020-10-31
2020-11-02,Lost Highway,1997,https://boxd.it/1ri7o7,5,,This was terrifying,,2020-11-01
2020-11-07,Punch-Drunk Love,2002,https://boxd.it/1rLBPP,5,,🥺,,2020-11-06
2020-11-10,Feels Good Man,2020,https://boxd.it/1s4O6B,4.5,,This movie is one of the most beautiful documentaries I have ever seen,,2020-11-09
2020-11-25,Let It Snow,2019,https://boxd.it/1tBdGd,1.5,,"The songs were good and it wasn't horribly shot, but ohhhhh God the writing was super obnoxious. Could not stand it. Couldn't watch the whole thing so I guess this rating doesn't mean much but I doubt it would have gotten better",,2020-11-24
2020-11-26,Kiss Kiss Bang Bang,2005,https://boxd.it/1tGeUF,3.5,,So confusing but entertaining. RDJ and Val Kilmer are great,,2020-11-25
2020-11-28,National Lampoon's Christmas Vacation,1989,https://boxd.it/1tViF5,4,,If a blanket were a movie,,2020-11-27
2020-11-30,Parasite,2019,https://boxd.it/1u8UMf,4.5,,Frontenac,,2020-01-26
2020-11-30,Toy Story 4,2019,https://boxd.it/1u8VqJ,,,Marcus Chesterfield,,2019-07-28
2020-11-30,The Lighthouse,2019,https://boxd.it/1u8W5d,4.5,,AMC Chesterfield,,2019-11-03
2020-11-30,Jojo Rabbit,2019,https://boxd.it/1u8WoT,5,,Frontenac,,2020-01-19
2020-11-30,1917,2019,https://boxd.it/1u8XPB,4,,"The acting is good, the sets are outstanding, the music and cinematography are interesting and engaging, and it was not afraid of being disgusting. This movie was intense from start to finish. There are no breaks. It's an amazing time at the movies",,2020-01-21
2020-11-30,Solo: A Star Wars Story,2018,https://boxd.it/1u8Z2h,,,AMC Chesterfield,,2018-06-16
2020-11-30,Avengers: Infinity War,2018,https://boxd.it/1u8Zz1,,,Chesterfield Galaxy,,2018-05-06
2020-11-30,Captain America: The Winter Soldier,2014,https://boxd.it/1u8ZYv,,,AMC Chesterfield,,2014-04-26
2020-11-30,Spider-Man: Homecoming,2017,https://boxd.it/1u90oj,,,Marcus Des Peres,,2017-07-15
2020-11-30,Finding Dory,2016,https://boxd.it/1u90Vd,,,Wehrenberg Chesterfield,,2016-06-22
2020-11-30,John Wick: Chapter 2,2017,https://boxd.it/1u91mN,,,AMC Chesterfield,,2017-03-01
2020-11-30,Thor: Ragnarok,2017,https://boxd.it/1u925X,,,Esquire,,2017-11-12
2020-11-30,Breaking In,2018,https://boxd.it/1u92Hx,,,"AMC Chesterfield

Lol",,2018-05-19
2020-11-30,Dunkirk,2017,https://boxd.it/1u93gd,,,AMC Chesterfield,,2017-08-07
2020-11-30,Little Women,2019,https://boxd.it/1u97gV,3.5,,Home,,2020-01-27
2020-11-30,Ford v Ferrari,2019,https://boxd.it/1u9821,3,,Home,,2020-01-25
2020-11-30,The Irishman,2019,https://boxd.it/1u98vx,4,,Netflix,,2020-01-18
2020-11-30,Marriage Story,2019,https://boxd.it/1u99cr,5,,Netflix,,2020-01-13
2020-11-30,Once Upon a Time… in Hollywood,2019,https://boxd.it/1u9aHF,4,,"Home
",,2020-01-31
2020-11-30,They Live,1988,https://boxd.it/1uaW7R,3.5,,1988? Really?,,2020-11-29
2020-12-01,Lady Bird,2017,https://boxd.it/1uiOTJ,5,Yes,2nd time seeing this. Super good. With Makayla. ,,2020-05-01
2020-12-01,The Perks of Being a Wallflower,2012,https://boxd.it/1uiPiJ,3,,The book was better. ,,2020-05-01
2020-12-01,Booksmart,2019,https://boxd.it/1uiQ0V,2.5,,My expectations were too high ,,2020-06-01
2020-12-01,Sorry to Bother You,2018,https://boxd.it/1uiQmd,,,??????? Loved it but ????????,,2020-06-01
2020-12-01,Good Time,2017,https://boxd.it/1uiQUp,5,,An anxiety machine. Highly recommend (especially at night),,2020-06-01
2020-12-06,12 Angry Men,1957,https://boxd.it/1uP1f7,5,,Amazon Prime Video with dad,,2020-12-05
2020-12-07,A Clockwork Orange,1971,https://boxd.it/1uZ9ln,4.5,,"👀

Netflix",,2020-12-06
2020-12-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/1vi1tV,4.5,,"Great

Amazon Prime Video",,2020-12-09
2020-12-11,Portrait of a Lady on Fire,2019,https://boxd.it/1vnWxl,5,,Hulu? With Makayla. ,,2020-06-01
2020-12-11,Waves,2019,https://boxd.it/1vnWYh,5,,Cried,,2020-07-01
2020-12-12,mid90s,2018,https://boxd.it/1vtQcj,3.5,,"Such a vibe. Not much else. 

A <b>vibe</b> though

Amazon Prime Video w Makayla",,2020-12-11
2020-12-20,Life of Brian,1979,https://boxd.it/1wnzTH,4,,Netflix,,2020-12-19
2020-12-25,The Departed,2006,https://boxd.it/1x3MrZ,4.5,,"Underrated 

Amazon Prime Video",,2020-12-24
2020-12-31,Run Lola Run,1998,https://boxd.it/1y7aDb,4.5,,Amazon Prime Video,,2020-12-30
2021-01-02,Thunder Road,2018,https://boxd.it/1yv5Gd,4,,Amazon Prime Video,,2021-01-01
2021-01-06,It Comes at Night,2017,https://boxd.it/1zggNN,4.5,,"This one hurt. I can understand why people would, like, HATE this movie. I think that the movie had a goal and accomplished it extremely well. Super well made. 

This one hurt hurt though. 

Amazon Prime Video",,2021-01-05
2021-01-08,A Man Escaped,1956,https://boxd.it/1zwxNR,3.5,,"This movie was strangely relaxing. I enjoyed it, but I don't quite understand the hype. 🤷

Amazon Prime Video",,2021-01-07
2021-01-09,Before Sunrise,1995,https://boxd.it/1zGgT9,4.5,,Amazon Prime Video,,2021-01-08
2021-01-11,Children of Men,2006,https://boxd.it/1A1ryD,4.5,,"THE BOAT CAME LET'S GO

amazon prime video",,2021-01-10
2021-01-14,The Shining,1980,https://boxd.it/1AuCq9,5,,"Jack Nicholson was put on this earth to play this role

Blu-ray",,2021-01-13
2021-01-15,Before Sunset,2004,https://boxd.it/1ADKrx,4,,"Sad

Amazon Prime Video",,2021-01-14
2021-01-17,Making The Shining,1980,https://boxd.it/1AXAPT,3,,"Poor Shelley Duvall

Blu-Ray Special feature",,2021-01-16
2021-01-24,The Social Network,2010,https://boxd.it/1C0y1n,4.5,,Netflix,,2021-01-23
2021-01-25,Hot Fuzz,2007,https://boxd.it/1Cb3xz,4.5,Yes,"One of the most rewatchable movies I've ever seen

DVD",,2021-01-24
2021-01-28,The Hunt,2012,https://boxd.it/1CyRej,4,,Amazon Prime Video,,2021-01-27
2021-02-03,Seven Up!,1964,https://boxd.it/1Dre7X,3.5,,Amazon Prime Video,,2021-02-02
2021-02-06,The Wolf of Wall Street,2013,https://boxd.it/1DPUUv,4.5,Yes,Amazon Prime Video,,2021-02-05
2021-02-08,Primer,2004,https://boxd.it/1E9rWn,4,,"Uhhhhhhhhhhhhhhhhhhhhh...?

APV",,2021-02-07
2021-02-11,The Climb,2019,https://boxd.it/1Exbkl,4,,"Funny, creative, heartfelt, and beautifully shot. 

APV",,2021-02-10
2021-02-12,Primer,2004,https://boxd.it/1EEJOj,4.5,Yes,"This would be 5/5 if the movie kind of got on with it the first 20ish minutes. It was cool, but not nearly as much rewatchability as the rest of the movie trying to figure out what's going on. So good otherwise though. Highly doubt this is the last time I see this

APV",,2021-02-11
2021-02-14,Arrival,2016,https://boxd.it/1EXx21,3.5,,APV,,2021-02-13
2021-02-17,The Princess Diaries,2001,https://boxd.it/1Fp9XN,3,,"Where was Joe's Oscar, academy?

APV",,2021-02-16
2021-02-22,There Will Be Blood,2007,https://boxd.it/1G76YB,5,,"The score and DDL alone make this incredible. Favorite PTA so far

Netflix",,2021-02-21
2021-02-22,This Is Spinal Tap,1984,https://boxd.it/1GbVwV,4,,HBO Max,,2021-02-21
2021-02-24,News of the World,2020,https://boxd.it/1GsjCF,3,,"Tom Hanks is easily the best part of this movie. Hanks is very likable in any role he plays, and this movie is no exception. I enjoyed seeing Captain Kidd and Johanna bond. I also thought the cinematography made this movie much more interesting than it would have been otherwise. Many shots of the Texas countryside were breathtaking.

This movie would have been so much better with a better script. This movie is filled with conveniences, cliches, and cheese. This movie played it so safe. This time period in American history is very ugly, but this movie delivers it in a clean, easily digestible way. This movie would have hit me much harder if stuff like the racism and poverty were delivered in a more visceral way. This movie was also super predictable. At every point of the movie I could guess where the story was going to go.

While I like what the movie was going for, I also thought some of the themes were delivered awkwardly. Throughout the film, Captain Kidd reads the news to different Texas towns. While I appreciate the message the movie was trying to make with these scenes, the delivery from the crowds listening to the news was so over the top it was impossible to take seriously.

Despite the mediocre script, this was a competently made movie. The enjoyment I got from Tom Hanks character, the settings, and the visuals made me like this movie more than I disliked it. If you want a fun movie you don’t want to think too much about, this isn’t a terrible choice. Just wait until it’s cheaper than 20 bucks.

https://pchcorral.com/14763/entertainment/news-of-the-world-is-nothing-new/#photo

APV",,2021-02-23
2021-02-26,The Princess Diaries 2: Royal Engagement,2004,https://boxd.it/1GF9sB,2.5,,"Joe CARRIED

Disney+",,2021-02-25
2021-02-26,Promising Young Woman,2020,https://boxd.it/1GHgkD,4.5,,"This movie is incredible. The acting here from the two leads is top-notch. Carey Mulligan knocks it out of the park here. Her emotional range is incredible and very believable. Bo Burnham, famous for his unique stand-up material, also does a fantastic job.

I also adored the score of this movie. There are some great scenes that are made even better by these tense, uneasy orchestral passages. This provides a horror-movie aesthetic, a great choice.

The story here is super entertaining. From the very beginning the movie pulls you in. By the time the movie ends you don’t know where your two hours went.

What elevates this movie above a fun thriller are the underlying messages. The film focuses on how society treats women that have been sexually abused. While this movie has received some criticism regarding the presentation of these issues, I thought that it was masterfully done.

The film can be very on-the-nose, but I think that this is a special case of this helping this movie rather than hurting it. For example, seemingly every negative thought about women who have accused a man of sexual assault is stated by a character this movie. While this gives some scenes a PSA vibe, I think that the directness here will force people to self reflect in a way that a more subtle approach could not have done.

This movie takes very little time to slow down and focus on the emotional side of these characters. Some have criticized this, claiming that this movie hijacks a sensitive social issue just for shock value, but I think the lack of emotional introspection about the main characters adds layers to what the movie is trying to say. The audience is made aware of the main character’s mental state through logos rather than pathos. While other movies might shove it in your face that a main character is sad, this movie purposefully avoids doing so in order to make a point. If I know from knowledge of the main character’s past why they feel a certain way, why do I need a scene of them crying to somber piano music in order to care as much? This idea portrayed through the film making is also explored through the actual story, which gives the message twice the impact.

All of that said, this was not a perfect movie. I think while there were some cool shots, more could have been done to make this movie visually interesting. This movie also did not emotionally affect me as much as it could have due to the heavier focus on the thriller aspects, though I do appreciate why that decision was made.

Despite those reservations, I highly recommend this movie. This movie has rubbed some people the wrong way, but I think more conversations about a movie like this, positive or negative, are great to have.

https://pchcorral.com/14780/entertainment/promising-young-woman-fun-and-thoughtful-thriller/

APV",,2021-02-25
2021-03-01,The Trial of the Chicago 7,2020,https://boxd.it/1H4ve7,3.5,,"This is a consistently entertaining movie. Aaron Sorkin, the writer and director, is famous for making witty and fast-paced dialogue. This movie is no exception. Sorkin balanced seriousness with humor well throughout the script. There were some scenes that made me laugh out loud to myself. There were other scenes that made me very uncomfortable, all thanks to great writing.

I also thought the film had a great energy throughout. I was very rarely bored. There were a few great montages throughout the movie, my favorite being the opening montage of each character leading up to the convention.

Another strong aspect of this film are the performances. Sacha Baron Cohen of “Borat” fame does a particularly fantastic job playing a smart but sometimes obnoxious 60’s political pothead. Everyone did a great job making their characters interesting to watch.

This movie is carried by the chemistry of the actors and the engaging script and story. While these are arguably two of the most important things for a movie to do right, this film really suffered from a lack of creativity regarding more technical aspects.

The cinematography, other than some impressively long takes, is nothing spectacular. I feel that more could have been done to portray the chaos of certain scenes, such as flashbacks to the protests, by showing this through the camera work.

I was also very disappointed by both the soundtrack and the score. While sometimes, like in the opening montage, the music did a great job at bringing some energy, the music added very little other than that. The score here is very generic, and the soundtrack is extremely underutilized. How can a 60’s political drama have a boring soundtrack?

This movie has a strange tone. While the implications of this trial are very serious, as well as the general political situation of the time, this movie seems much more focused on making an entertaining story than a challenging one. There is some very disturbing content here, but little is done through how the movie is presented to make the audience feel as disgusted as they should. In this way, I feel like the subject matter is slightly squandered.

That being said, I liked this movie much more than I disliked it. This is a thrilling ride with a compelling and important story. There is a lot of great humor, made even better by many great performances. What holds this movie back is a lack of creative style. If you want an entertaining courtroom drama with snappy dialogue and electric performances, that’s exactly what you’ll get with “The Trial of the Chicago 7”.

https://pchcorral.com/14786/entertainment/the-trial-of-the-chicago-7-entertainment-over-impact/",,2021-02-28
2021-03-01,Point Break,1991,https://boxd.it/1H876r,4,,Blu-ray,,2021-02-28
2021-03-02,One Night in Miami...,2020,https://boxd.it/1HfYwV,4,,"This is a great movie. The best aspect of this movie is the acting. Every single actor knocks it out of the park here. This film does a great job exploring these famous people and why they do what they do. Kingsley Ben-Adir in particular is incredible as Malcolm X. He displays so much emotional range throughout the movie. Ben-Adir has a bright future ahead of him, considering that this is one of his first staring roles. Leslie Odom Jr. of Hamilton fame also completely kills it. A lot of the conflict throughout the film has to do with how differently these two in particular view the movement. There are some incredible scenes of back and fourth between these two men. Both Hodge and Goree are amazing too.

The dialogue in this movie is so good. Whereas in <a href=""https://pchcorral.com/14786/entertainment/the-trial-of-the-chicago-7-entertainment-over-impact/"">“The Trial of the Chicago 7”</a> there were some very “Hollywood” moments, this film is able to be interesting and entertaining without obviously sounding like a movie. When the film really gets going, I could not get enough of these conversations.
This film also does a great job at showing how each character interacts when they are alone with another character. For example, when Sam Cooke and Cassius Clay are alone, we hear a very different side to Cooke than when he is in the group.

There is also a lot of creativity to both the music and the camerawork. The score by Terence Blanchard is fantastic. His sparse piano pieces really add to this movie’s aesthetic. I also appreciate how the songs of this movie come from the events of the movie, creating an even more immersive experience. The camerawork is creative as well, especially considering a lot of this movie takes place in a hotel room.

My biggest problem with this movie is the pacing. While I appreciate this movie giving context to each person’s life before the night in question begins, the beginning is still a little slow. My favorite part of this movie is seeing these characters interact, but it takes a little bit to get to that point. It takes a few minutes to get the ball rolling, but this movie really picks up when we get to the hotel room.

This movie is filled with fantastic performances, smart dialogue, and creative decisions. Even with the slow start, this movie left a heavy emotional impact by the time the credits rolled. If you are interested in a dialogue-heavy film with fantastic performances and social commentary, don’t miss out on “One Night in Miami”.

https://pchcorral.com/14793/entertainment/one-night-in-miami-is-packed-with-electrifying-performances/

APV",,2021-03-01
2021-03-04,Nomadland,2020,https://boxd.it/1Hv8Tl,4,,"“Nomadland” was made in an unorthodox way. Rather than having actors play all of the parts, most of the characters here play fictionalized versions of themselves. These nomads Fern meets throughout the movie actually live life the way they do in the movie. Fern goes to an event called the “Rubber Tramp Rendezvous”, which is led by American nomadic influencer Bob Wells. This event is real, and the real Bob Wells plays himself in this story. By making the movie this way, this movie feels as much like a documentary as a fictional story.

This movie structurally is also unique. Rather than having a beginning, middle, and end, this film feels much more like a series of loosely connected vignettes. The film focuses on Fern with many characters going in and out of Fern’s life. This is a clever way of adding more to the realistic, documentary vibe the production of this movie provides.

Frances McDormand as Fern is unbelievable. The strongest aspect of this movie is its realism, and this movie could not have accomplished that without a stunning performance from her. Fern feels just as real as the other real people in the movie. That being said, having real people play themselves did so much for this movie emotionally. When people talk throughout this movie, it hits so much harder knowing that these stories are real. I wonder what the script of this movie looks like, because there is a ton of dialogue here that feels so natural and genuine. I really hope more movies are made like this.

Even with such a realistic presentation, “Nomadland” does an incredible job building tension. Fern throughout the film is constantly searching for work. She has little money, few possessions, and few close friends. From the very beginning, this film makes you very emotionally attached to Fern. This dynamic creates some scenes that are just as suspenseful as any action movie I have ever seen.

The reasons I don’t love this movie are entirely personal. Because this movie doesn’t have a specific beginning, middle, and end, I feel like this movie did not end with as much impact as it could have with more structure. I understand that this movie is going for realism, so it wouldn’t necessarily make sense to have a satisfying ending, but I still think this movie meandered around a little too long by the end.

Personally, I also appreciate it when technical aspects of a movie add to what the movie is trying to say. As a result of this focus on realism, the camera work and music do more to enhance the aesthetic than the themes. This is not an incorrect choice, I just wish this movie had more going on under the surface.

While I think this movie is extremely impressive, this is not my favorite movie I have seen so far. This movie is beautiful, emotional, and brings a feeling I have never felt watching anything else. I completely understand why many people see this as a masterpiece. This movie had a vision and accomplished that vision flawlessly. I highly recommend that everyone checks this one out. It might blow you away more than me.

https://pchcorral.com/14801/entertainment/nomadland-is-essential-viewing/#photo

Hulu",,2021-03-03
2021-03-06,Minari,2020,https://boxd.it/1HL0VF,4.5,,"I love this movie. I am so impressed with how this film balanced comfort with conflict. This manages to be both a heartwarming movie about family while being a realistic story about economic hardship, immigration, and faith. This film is bursting at the seams with heart in every aspect possible.

This film made me care so much about this family. The performances here are stellar across the board. The father, played by Steven Yeun, does such a fantastic job portraying a struggling but stoic father. My two favorite characters here are easily the grandmother, played by Youn Yuh-jung, and the boy, played by Alan Kim. The boy meets his grandmother for the first time here, and seeing their relationship develop throughout the film warms my heart just thinking about it. This movie could not have felt as warm and lively without these performances.

What really sets “Minari” apart is its presentation. This movie looks and sounds so gorgeous. The score is immaculate. The songs all have a distinct, warm vibe to them. It sounds like stepping outside to the first day of spring. The music combined with stunning camera work made this movie so interesting to watch during passages of little to no dialogue. There are some shots and music combinations I can still vividly imagine. I really hope this movie gets a nomination for both score and cinematography.

After watching the end of the film I felt conflicted. The story did not go in the direction I was expecting, but the more I think about it the more I appreciate how this film subverts expectations. If I had to make a critique, I feel like the themes of this movie could have more satisfyingly been constructed together. I could be missing something though, so take my reservations with a grain of salt.

There’s a lot to love about this movie. It is funny, heartwarming, shocking, stressful, and everything in-between. I highly recommend this one to everyone.

APV",,2021-03-05
